Virksomhedsnr.;Hvordan ser du mulighederne for at låne penge til din virksomhed? (fiktivt spørgsmål);Antal ansatte Cvr-nr.;Etableringsdato;Branchekode primær;Branchebetegnelse primær;Overført resultat 2021 (1.000 kr);Overført resultat 2020 (1.000 kr);Overført resultat 2019 (1.000 kr);Overført resultat 2018 (1.000 kr);Overført resultat 2017 (1.000 kr);Overført resultat 2016 (1.000 kr);Likvider 2021 (1.000 kr);Likvider 2020 (1.000 kr);Likvider 2019 (1.000 kr);Likvider 2018 (1.000 kr);Likvider 2017 (1.000 kr);Likvider 2016 (1.000 kr);Egenkapital 2021 (1.000 kr);Egenkapital 2020 (1.000 kr);Egenkapital 2019 (1.000 kr);Egenkapital 2018 (1.000 kr);Egenkapital 2017 (1.000 kr);Egenkapital 2016 (1.000 kr);Langfristet gæld 2021 (1.000 kr);Langfristet gæld 2020 (1.000 kr);Langfristet gæld 2019 (1.000 kr);Langfristet gæld 2018 (1.000 kr);Langfristet gæld 2017 (1.000 kr);Langfristet gæld 2016 (1.000 kr);Kortfristet gæld 2021 (1.000 kr);Kortfristet gæld 2020 (1.000 kr);Kortfristet gæld 2019 (1.000 kr);Kortfristet gæld 2018 (1.000 kr);Kortfristet gæld 2017 (1.000 kr);Kortfristet gæld 2016 (1.000 kr);Balance 2021 (1.000 kr);Balance 2020 (1.000 kr);Balance 2019 (1.000 kr);Balance 2018 (1.000 kr);Balance 2017 (1.000 kr);Balance 2016 (1.000 kr);Afkastningsgrad 2021 (%);Afkastningsgrad 2020 (%);Afkastningsgrad 2019 (%);Afkastningsgrad 2018 (%);Afkastningsgrad 2017 (%);Afkastningsgrad 2016 (%);Likviditetsgrad 2021 (%);Likviditetsgrad 2020 (%);Likviditetsgrad 2019 (%);Likviditetsgrad 2018 (%);Likviditetsgrad 2017 (%);Likviditetsgrad 2016 (%);Soliditetsgrad 2021 (%);Soliditetsgrad 2020 (%);Soliditetsgrad 2019 (%);Soliditetsgrad 2018 (%);Soliditetsgrad 2017 (%);Soliditetsgrad 2016 (%);Egenkapital forrentning 2021 (%);Egenkapital forrentning 2020 (%);Egenkapital forrentning 2019 (%);Egenkapital forrentning 2018 (%);Egenkapital forrentning 2017 (%);Egenkapital forrentning 2016 (%)
3924; Gode;69;16-12-1999;422200;Anlæg af ledningsnet til elektricitet og kommunikation;;58370;68005;60554;58276;54895;;12401;4639;1403;67;31;;84370;78005;70554;68276;64895;;;;;;;;14603;13931;13300;14164;36349;;100775;92940;84345;82491;101244;;6,68;8,28;3,79;3,9;-8,98;;497,04;475,97;434,06;388,08;208,1;;83,72;83,93;83,65;82,77;64,1;;7,54;9,55;3,23;4,95;
3959; Gode;69;22-12-1999;251100;Fremstilling af metalkonstruktioner og dele heraf;;30246;27780;26600;26381;26088;;3503;2449;3301;2923;281;;42246;39780;40600;42381;31088;;;;;;;;68723;78147;84347;74961;90664;;112229;119218;126394;118762;123031;;10,95;9,06;9,74;12,66;10,41;;120,41;110,55;109,39;109,36;97,76;;37,64;33,37;32,12;35,69;25,27;;22,41;20,56;22,71;26,65;29,23
3081;Gode;68;10-08-2008;411000;Gennemførelse af byggeprojekter;;5207;4405;4366;4365;4755;;5544;3;8;244;7;;7707;7005;6066;6965;6755;;785;0;329;491;404;;19342;13314;11319;10627;10970;;27864;20334;17725;18083;18128;;13;13,66;8,69;11,83;9,86;;127,32;139,92;141,39;157,68;153,17;;27,66;34,45;34,22;38,52;37,26;;36,36;30,54;19,8;24,57;21,92
3465;Gode;68;01-01-1998;494100;Vejgodstransport;;15191;13815;11842;11528;11799;;7;1065;1981;1476;3665;;31237;29205;28059;27411;27834;;3825;1848;984;1697;2707;;8799;6080;6743;6166;8200;;44040;37304;36018;35398;38884;;5,73;3,94;3,55;3,17;3,06;;110,51;144,92;126,47;124,36;111,18;;70,93;78,29;77,9;77,44;71,58;;6,01;3,72;2,9;2,66;2,66
3480;Neutrale;68;16-05-2002;494100;Vejgodstransport;;8375;8021;7185;6997;8087;;4;819;1;10;10;;11575;10021;9185;8997;10087;;13663;14044;7195;6794;9317;;18865;15229;17565;18249;19443;;45054;39896;34409;34491;39532;;4,39;3,2;0,97;-3,48;1,64;;60,17;74,08;60,23;55,93;55,86;;25,69;25,12;26,69;26,09;25,52;;13,43;8,33;2,05;;3,13
3544;Gode;68;19-11-1993;494100;Vejgodstransport;;23413;22107;29466;28832;31298;;2;3216;2152;2574;6543;;26913;33607;32966;31332;33798;;8282;6165;7117;7860;8800;;13708;10802;10248;9866;10126;;48903;50575;50333;49058;52722;;11,63;9,38;9,44;8,71;11,92;;102,26;183,06;174,87;154,67;186,8;;55,03;66,45;65,5;63,87;64,11;;16;10,83;11,03;10,29;15,24
3599;Gode;68;03-11-2009;310900;Fremstilling af andre møbler;;13170;8905;8286;6861;5855;;77;30;10;101;36;;24170;21655;15036;13611;12605;;6857;10531;9948;12140;10282;;21082;21848;16722;14909;10365;;54175;55925;43482;42352;34743;;6,97;2,8;5,87;4,88;8,23;;178,49;174,04;164,33;171,42;204,02;;44,61;38,72;34,58;32,14;36,28;;10,41;2,86;9,48;7,39;13,04
3752; Gode;68;02-01-2007;310100;Fremstilling af kontor- og butiksmøbler;;34182;32391;27654;25957;18490;;2051;2915;10;2002;6;;38442;38901;31464;29722;20140;;11142;7507;;0;231;;20533;23497;33924;14420;29967;;71138;70801;66151;44438;50665;;11,87;21,59;10,56;28,96;13,68;;211,14;194,97;144,13;268,26;152,32;;54,04;54,94;47,56;66,88;39,75;;14,56;27,63;15,09;35,97;24,53
3768; Gode;68;01-05-1990;256200;Maskinforarbejdning;18391;30685;25405;22345;19548;17588;246;4441;30;187;69;1396;31391;40685;35405;39845;34048;29088;8771;16459;15000;16000;17000;18000;36427;15716;26080;20133;17173;16572;76792;73368;76984;76088;68282;63662;29,28;9,94;2,49;15;12,92;8,34;106,21;217;116,87;174,36;164,2;190,83;40,88;55,45;45,99;52,37;49,86;45,69;56,4;12,98;1,58;22,08;17,51;12,33
3795; Gode;68;08-05-2008;522920;Speditører;;12913;12165;12525;13055;12009;;189;855;244;817;339;;15713;15465;15825;14089;12809;;35887;35222;31404;27624;25869;;20469;23909;25123;21533;19348;;76335;78085;75231;65628;60038;;5,97;4,81;4,21;3,89;2,18;;74;65,49;69,15;72,49;71,93;;20,58;19,81;21,04;21,47;21,33;;17,49;13,84;10,97;9,09;1,98
3873;Neutrale;68;22-03-1999;466200;Engroshandel med værktøjsmaskiner;;12989;12315;10995;11603;10099;;43;346;35;24;26;;21989;23870;21448;21855;19099;;3206;953;;;;;63948;84264;71747;65552;55598;;89391;109467;93358;87714;74931;;0,45;4,03;0,71;3,42;1,83;;132,93;124,68;127,38;129,04;128,86;;24,6;21,81;22,97;24,92;25,49;;0,54;14,34;2,76;12,61;6,18
3891; Gode;68;01-07-1993;412000;Opførelse af bygninger;;12741;8508;13709;13235;16361;;47140;8128;18503;15926;14925;;18206;9748;19949;16775;18001;;3360;3541;3059;5183;5779;;66309;42927;38770;34296;32409;;92267;58092;65316;59676;61979;;13,12;-9,9;11,96;9,8;23,27;;127,86;115,89;138,76;143,31;161,12;;19,73;16,78;30,54;28,11;29,04;;46,46;;25,14;22,02;56,66
4158;Gode;68;14-06-1966;289900;Fremstilling af øvrige maskiner til specielle formål i.a.n.;;-5177;-10067;-8718;2199;20356;;4098;11756;650;0;70;;136749;125153;110942;98152;118625;;2372;3450;;;;;67431;71190;70856;61940;47962;;207605;199793;183007;166074;170574;;2,88;-0,51;-0,79;-3,81;-0,15;;109,3;106,9;109,42;123,92;154,18;;65,87;62,64;60,62;59,1;69,54;;9,43;10,95;11,4;;14,58
3352;Gode;67;23-05-1967;432200;VVS- og blikkenslagerforretninger;;21976;20848;20729;20158;19905;;2083;2221;445;343;1657;;22476;25348;25229;24658;24405;;;;;;;;15831;22476;16035;15076;14022;;38306;47826;41264;39735;38427;;4,48;11,26;14,44;13,07;6,32;;214,5;196,02;233,99;256,98;264,58;;58,67;53;61,14;62,06;63,51;;5,02;16,25;17,69;17,25;9,2
3541;Gode;67;26-06-1995;181200;Anden trykning;;8495;8654;7030;7989;11076;;2;1;9;5;1;;10589;10722;9030;11178;13758;;8458;7155;10081;14252;15733;;29161;31692;41129;40702;36463;;48738;49617;60238;66267;66791;;1,67;6,14;-2,78;-3,21;4,73;;89,41;78,4;78,52;80,76;90,9;;21,73;21,61;14,99;16,87;20,6;;1,01;15,79;;;11,85
3581;Gode;67;02-04-2002;222900;Fremstilling af andre plastprodukter;;16821;12435;9630;8124;5700;;1609;256;31;346;1164;;21001;17068;14759;12284;11866;;12517;11547;12166;8239;9448;;17170;19950;25622;23950;24859;;52196;49992;53139;44569;46173;;12,83;11,53;8,76;10,35;12,6;;133,14;112,35;97,46;94,24;97,02;;40,23;34,14;27,77;27,56;25,7;;23,02;23,13;21,32;25,2;34,46
4304; Gode;67;20-12-1988;132000;Vævning af tekstiler;;148156;138096;117828;102886;82834;;29036;3967;3561;14827;2148;;198446;195542;171223;153961;118334;;;;0;1152;1544;;235658;200349;125068;113715;38193;;439106;400722;300104;271989;161011;;9,57;15,85;18,91;19,1;17;;134,98;138,99;170,35;165,4;316,47;;45,19;48,8;57,05;56,61;73,49;;10,86;22,66;21,76;29,64;17,82
4342; Gode;67;16-03-1992;109100;Fremstilling af færdige foderblandinger til landbrugsdyr;;125751;131957;179879;178911;203110;;30764;3783;25126;10833;24036;;152464;156603;192075;186970;212674;;5672;2844;0;2752;3801;;400989;350763;339441;282241;291667;;559125;510210;535614;478909;518856;;2,51;-7,57;-2,05;-1,87;1,58;;85,79;81,49;84,34;88,97;98,31;;27,27;30,69;35,86;39,04;40,99;;0,89;;0,66;;1,65
3280;Neutrale;66;14-12-1982;289300;Fremstilling af maskiner til føde-, drikke- og tobaksvareindustrien;;18565;17101;20755;15354;12059;;;;;;0;;19927;18463;22117;16716;13428;;;;0;8810;4091;;13626;12787;16844;12467;8831;;34769;32958;40939;40061;27986;;6,01;-13,22;17,26;10,82;7,44;;195,56;190,05;193,08;261,63;238,9;;57,31;56,02;54,02;41,73;47,98;;7,34;;24,42;19,67;11,29
3624;Gode;66;01-10-1997;310900;Fremstilling af andre møbler;;24498;27755;25969;24153;22254;;11629;9028;10108;8870;9645;;30498;34755;30969;27153;28104;;11752;9155;9737;10600;11445;;12306;7887;8081;9012;8036;;56317;53487;50250;48021;48665;;4,83;19,3;15,4;11,23;15,36;;272,59;380,36;388,94;318,38;381,13;;54,15;64,98;61,63;56,54;57,75;;5,72;22,4;18,78;14,36;19,68
3695; Gode;66;30-05-1994;431200;Forberedende byggepladsarbejder;;10008;8267;7886;7873;7831;;12097;3147;924;5464;5242;;17628;10487;11106;14793;11651;;13553;9613;8479;7861;6884;;23337;23501;18501;18837;12871;;64138;51194;45559;48666;37235;;14,8;1,86;4,05;13,57;6,05;;163,25;131,04;137,46;156,2;151,53;;27,48;20,48;24,38;30,4;31,29;;40,52;3,63;9,12;32,05;11,85
3808; Gode;66;21-03-1974;282200;Fremstilling af løfte- og håndteringsudstyr;;22423;17488;19140;16140;16745;;5679;55;4547;9450;8078;;30423;21988;24640;18640;21245;;20683;11279;7232;7706;8373;;22758;14783;18058;15260;9412;;78881;51425;53647;44143;41491;;21,32;19,74;20,31;5,05;15,27;;170,24;139;130,67;172,04;238,64;;38,57;42,76;45,93;42,23;51,2;;40,87;33,42;32,47;7,48;18,71
3828; Gode;66;19-12-1974;282200;Fremstilling af løfte- og håndteringsudstyr;;15301;16212;13410;12977;16917;;5916;404;3812;2234;489;;30601;32512;33710;29177;33317;;8751;19775;20213;23304;23644;;39057;26355;28085;32643;30169;;81461;81715;85053;88153;89850;;6,65;8,11;11,78;8,94;9,81;;123,23;172,41;172,03;148,95;168,22;;37,57;39,79;39,63;33,1;37,08;;3,7;13,31;17,32;16,8;20,12
3843;Neutrale;66;29-05-1998;256200;Maskinforarbejdning;;43334;33468;32389;31332;23077;;1478;3071;5423;3124;1066;;49334;35268;44189;43132;32877;;9216;10262;9143;12266;7344;;22982;37518;30196;56621;48786;;83996;85339;85401;113630;90566;;17,27;2,14;17;21,11;13,56;;238,72;149,39;192,97;152,14;144,4;;58,73;41,33;51,74;37,96;36,3;;21,79;3,06;25,02;42,33;28,59
